"","sorted.div.freqs.v"
"Ingrateful.ingrateful",100
"scurvypolitician,.politician",50
"scurvypolitician,.scurvy",50
"Nothingcancomeofnothing;.nothing",40
"thytruththenbethydower;.thy",33.3333333333333
"comesbehindhim,.behind",33.3333333333333
"comesbehindhim,.comes",33.3333333333333
"comesbehindhim,.him",33.3333333333333
"Atgildedbutterflies,.at",33.3333333333333
"Atgildedbutterflies,.butterflies",33.3333333333333
"Atgildedbutterflies,.gilded",33.3333333333333
"Thisgildedserpent..gilded",33.3333333333333
"Thisgildedserpent..serpent",33.3333333333333
"Thisgildedserpent..this",33.3333333333333
"onlygotthetuneofthetime,.the",28.5714285714286
"Putinnow,Titus..in",25
"Putinnow,Titus..now",25
"Putinnow,Titus..put",25
"Putinnow,Titus..titus",25
"Lear.Nothingcancomeofnothing;speakagain..nothing",25
"atardinessinnature,.a",25
"atardinessinnature,.in",25
"atardinessinnature,.nature",25
"atardinessinnature,.tardiness",25
"[Throwsthedishesatthem,anddrivesthemout..them",22.2222222222222
"thatwillnotseeBecausehedothnotfeel,.not",22.2222222222222
"Shallwenotseethesedaughters,andthesesisters?.these",22.2222222222222
"Nothingcancomeofnothing;.can",20
"Nothingcancomeofnothing;.come",20
"Nothingcancomeofnothing;.of",20
"Reg.Ingratefulfox!'tishe..'tis",20
"Reg.Ingratefulfox!'tishe..fox",20
"Reg.Ingratefulfox!'tishe..he",20
"Reg.Ingratefulfox!'tishe..ingrateful",20
"Reg.Ingratefulfox!'tishe..reg",20
"Seeitshaltthounever..it",20
"Seeitshaltthounever..never",20
"Seeitshaltthounever..see",20
"Seeitshaltthounever..shalt",20
"Seeitshaltthounever..thou",20
"attheworst?Iamworsethane'erIwas..i",20
"Edm.YetEdmundwasbeloved..beloved",20
"Edm.YetEdmundwasbeloved..edm",20
"Edm.YetEdmundwasbeloved..edmund",20
"Edm.YetEdmundwasbeloved..was",20
"Edm.YetEdmundwasbeloved..yet",20
"'Prayyou,undothisbutton:.'pray",20
"'Prayyou,undothisbutton:.button",20
"'Prayyou,undothisbutton:.this",20
"'Prayyou,undothisbutton:.undo",20
"'Prayyou,undothisbutton:.you",20
"Myfather,poorlyled?—World,world,Oworld!Butthatthystrangemutationsmakeushatethee,.world",17.6470588235294
"Unwisely,notignobly,haveIgiven..given",16.6666666666667
"Unwisely,notignobly,haveIgiven..have",16.6666666666667
"Unwisely,notignobly,haveIgiven..i",16.6666666666667
"Unwisely,notignobly,haveIgiven..ignobly",16.6666666666667
"Unwisely,notignobly,haveIgiven..not",16.6666666666667
"Unwisely,notignobly,haveIgiven..unwisely",16.6666666666667
"Why,thisIstheworld'ssoul;.is",16.6666666666667
"Why,thisIstheworld'ssoul;.soul",16.6666666666667
"Why,thisIstheworld'ssoul;.the",16.6666666666667
"Why,thisIstheworld'ssoul;.this",16.6666666666667
"Why,thisIstheworld'ssoul;.why",16.6666666666667
"Why,thisIstheworld'ssoul;.world's",16.6666666666667
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..a",16.6666666666667
"thytruththenbethydower;.be",16.6666666666667
"thytruththenbethydower;.dower",16.6666666666667
"thytruththenbethydower;.then",16.6666666666667
"thytruththenbethydower;.truth",16.6666666666667
"Letpride,whichshecallsplainness,.calls",16.6666666666667
"Letpride,whichshecallsplainness,.let",16.6666666666667
"Letpride,whichshecallsplainness,.plainness",16.6666666666667
"Letpride,whichshecallsplainness,.pride",16.6666666666667
"Letpride,whichshecallsplainness,.she",16.6666666666667
"Letpride,whichshecallsplainness,.which",16.6666666666667
"Gon.Prescribenotusourduties..duties",16.6666666666667
"Gon.Prescribenotusourduties..gon",16.6666666666667
"Gon.Prescribenotusourduties..not",16.6666666666667
"Gon.Prescribenotusourduties..our",16.6666666666667
"Gon.Prescribenotusourduties..prescribe",16.6666666666667
"Gon.Prescribenotusourduties..us",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.o",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.of",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.space",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.undistinguished",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.will",16.6666666666667
"Oundistinguishedspaceofwoman'swill!—.woman's",16.6666666666667
"Glo.Ihavenoway,andthereforewantnoeyes;IstumbledwhenIsaw.Fulloft'tisseen,.i",15.7894736842105
"it;theageisgrownsopicked,thatthetoeofthepeasantcomessoneartheheelofthecourtier,hegallshiskibe.—Howlonghastthoubeenagrave-maker?.the",15.625
"Tim.Who,withoutthosemeansthoutalkestof,didstthoueverknowbeloved?.thou",15.3846153846154
"Gon.Milk-liveredman!Thatbear'stacheekforblows,aheadforwrongs;.a",15.3846153846154
"Gon.Milk-liveredman!Thatbear'stacheekforblows,aheadforwrongs;.for",15.3846153846154
"Timeshallunfoldwhatplaitedcunninghides;.cunning",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.hides",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.plaited",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.shall",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.time",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.unfold",14.2857142857143
"Timeshallunfoldwhatplaitedcunninghides;.what",14.2857142857143
"Truth'sadogthatmusttokennel..a",14.2857142857143
"Truth'sadogthatmusttokennel..dog",14.2857142857143
"Truth'sadogthatmusttokennel..kennel",14.2857142857143
"Truth'sadogthatmusttokennel..must",14.2857142857143
"Truth'sadogthatmusttokennel..that",14.2857142857143
"Truth'sadogthatmusttokennel..to",14.2857142857143
"Truth'sadogthatmusttokennel..truth's",14.2857142857143
"Mysnuff,andloathedpartofnature,.and",14.2857142857143
"Mysnuff,andloathedpartofnature,.loathed",14.2857142857143
"Mysnuff,andloathedpartofnature,.my",14.2857142857143
"Mysnuff,andloathedpartofnature,.nature",14.2857142857143
"Mysnuff,andloathedpartofnature,.of",14.2857142857143
"Mysnuff,andloathedpartofnature,.part",14.2857142857143
"Mysnuff,andloathedpartofnature,.snuff",14.2857142857143
"Ros.Wethinknotso,mylord..lord",14.2857142857143
"Ros.Wethinknotso,mylord..my",14.2857142857143
